No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Amount of Payment Schedule (ex GST),Section of Act application made under,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s22(4)(b) extension of time sought,Determination released,Determination released date,Adjudicated amount (ex GST),Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Region name,Description of work processed,Work category,Adjudicate ratio,Log claimed amount
79,2021-09-06,2021-09-09,General construction of apartments,3070,169854.99,112658.63,s.18(1)(b),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-09-21,,No,No,Yes,2021-09-22,169854.99,8590.91,0.0,1.0,0.0,8590.91,Yes,500.0,2021-09-30,Northern Metropolitan,general construction apartments,2,1.0,12.042700352020884
80,2021-09-07,2021-09-09,Excavation works,3212,32928.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Determined,2021-09-22,,No,No,Yes,2021-09-23,32928.0,3500.0,0.0,1.0,0.0,3500.0,Yes,0.0,2021-10-05,Western Victoria,excavation works,0,1.0,10.402078638633776
81,2021-09-13,2021-09-16,"Design, supply and install glazing to apartment building",3000,58187.7,0.0,s.18(1)(a)(i),Manufacturer of building materials or components,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-09-30,,Yes,Yes,Yes,2021-11-08,38516.76,,0.5,0.5,,,,,,Northern Metropolitan,design supply install glazing apartment building,1,0.6619398945137891,10.971429271177856
82,2021-09-13,2021-09-17,Supply and installation of joinery,3104,109801.58,15348.04,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-10-01,,Yes,Yes,Yes,2021-10-06,87643.22,8181.82,0.0,1.0,0.0,8181.82,Yes,500.0,2021-10-25,Southern Metropolitan,supply installation joinery,1,0.7981963465370899,11.60643019775367
83,2021-09-15,,Plastering works,3756,3145.45,0.0,s.18(1)(a)(i),Trade subcontractor,Other,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Victoria,plastering works,0,,8.053712243159696
84,2021-09-15,2021-09-16,Scaffolding works,3840,77713.49,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,None,Major subcontractor,Pty Ltd Company,Solicitors,Determined,2021-10-05,,Yes,No,Yes,2021-10-05,71223.49,5000.0,0.5,0.5,2500.0,2500.0,Yes,0.0,2021-10-13,Eastern Victoria,scaffolding works,0,0.9164881155125063,11.26078413775976
85,2021-09-16,2021-09-17,Concreting works,3051,423260.62,0.0,s.18(1)(b),Major subcontractor,Other,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-11-09,,Yes,Yes,Yes,2021-11-09,374460.73,35200.0,0.5,0.5,17600.0,17600.0,Yes,0.0,2021-11-17,Northern Metropolitan,concreting works,0,0.884704865763321,12.95574339123405
86,2021-09-16,2021-09-17,Concreting works,3051,423260.62,0.0,s.18(1)(b),Major subcontractor,Other,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,Yes,Yes,,,,,,,,,,,,Northern Metropolitan,concreting works,0,,12.95574339123405
87,2021-09-16,2021-09-21,"Supply of plumbing, hydraulics and associated works",3059,33169.63,0.0,s.18(1)(a)(i),Trade subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-10-04,,Yes,No,Yes,2021-10-04,26050.45,3000.0,0.5,0.5,1500.0,1500.0,No,,,Northern Metropolitan,supply plumbing hydraulics associated works,0,0.7853705332257249,10.40938997722106
88,2021-09-17,,Plastering works,3756,1027.27,0.0,s.18(1)(a)(i),Trade subcontractor,Other,None,Head contractor,Other,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Northern Victoria,plastering works,0,,6.934660077031281
89,2021-09-19,2021-09-22,Rendering,3802,19725.45,0.0,s.18(1)(b),Consultant,Sole Trader,None,Major subcontractor,Partnership,Solicitors,Determined,2021-09-23,,No,No,Yes,2021-09-23,0.0,,,,,,,,,South-Eastern Metropolitan,rendering,2,0.0,9.88966495914206
90,2021-09-21,2021-09-27,Civil and landscaping works ,3015,105810.85,-26542.77,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-10-09,,Yes,No,Yes,2021-10-12,59864.45,6136.36,0.0,1.0,0.0,6136.36,No,,,Western Metropolitan,civil landscaping works ,0,0.5657685388596726,11.569408345133118
91,2021-09-21,2021-09-23,Excavation works,3228,8500.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Determined,2021-10-04,,No,No,Yes,2021-10-04,0.0,1200.0,1.0,0.0,1200.0,0.0,No,,,Western Victoria,excavation works,0,0.0,9.047821442478408
92,2021-09-21,2021-09-23,Mechanical works,3000,183774.91,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Trust,Solicitors,Determined,2021-10-12,,Yes,Yes,Yes,2021-10-12,50133.91,19800.0,0.5,0.5,9900.0,9900.0,No,,,Northern Metropolitan,mechanical works,0,0.27280062332774374,12.12146697251288
93,2021-09-22,2021-09-27,Roofing works,3337,11431.12,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-10-11,,No,Yes,Yes,2021-10-12,0.0,1200.0,1.0,0.0,1200.0,0.0,No,,,Western Victoria,roofing works,0,0.0,9.344094739739901
94,2021-09-29,2021-09-30,Engineering services,3205,126935.25,0.0,s.18(1)(b),Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Determined,2021-10-19,,Yes,Yes,Yes,2021-10-21,118617.25,13200.0,0.5,0.5,6600.0,6600.0,No,,,Southern Metropolitan,engineering services,2,0.9344705272963971,11.751432392907153
95,2021-09-29,2021-09-30,Engineering services,3066,90886.0,0.0,s.18(1)(b),Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,Solicitors,Determined,2021-10-20,,Yes,Yes,Yes,2021-10-21,90886.0,5000.0,0.0,1.0,0.0,5000.0,No,,,Northern Metropolitan,engineering services,2,1.0,11.41736125290244
96,2021-09-29,,Engineering services,3000,29434.8,14349.8,s.18(1)(b),Consultant,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,engineering services,2,,10.289932926807037
97,2021-09-29,2021-09-30,Prestressing works,3146,4737.0,3704.0,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-10-11,,No,No,Yes,2021-10-12,3704.0,600.0,0.0,1.0,0.0,600.0,No,,,Southern Metropolitan,prestressing works,0,0.7819294912391809,8.463159302923751
98,2021-10-01,2021-10-06,Plumbing and drainage works,3939,24952.27,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2021-10-08,,No,No,Yes,2021-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,plumbing drainage works,0,0.0,10.124720079004986
99,2021-10-01,2021-10-06,Plumbing works for new residential apartments,3065,99250.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,Solicitors,Determined,2021-10-19,,No,No,Yes,2021-10-19,99250.0,9600.0,0.0,1.0,0.0,9600.0,No,,,Northern Metropolitan,plumbing works new residential apartments,0,1.0,11.505397198549437
100,2021-10-04,2021-10-08,Timber Framing,3175,17222.68,,s.18(1)(b),Trade subcontractor,Trust,None,Head contractor,Pty Ltd Company,None,Determined,2021-10-22,,No,No,Yes,2021-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,,,South-Eastern Metropolitan,timber framing,2,0.0,9.753982398857067
101,2021-10-13,2021-10-18,Roofing Supplies,3931,24065.45,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2021-10-21,,No,No,Yes,2021-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,roofing supplies,2,0.0,10.08853248091829
102,2021-10-13,2021-10-18,Roofing Supplies,3922,7090.91,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2021-10-21,,No,No,Yes,2021-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,roofing supplies,2,0.0,8.866568961078478
103,2021-10-14,2021-10-18,Carpet installation works,3186,12055.45,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Major subcontractor,Pty Ltd Company,None,Determined,2021-11-10,,Yes,Yes,Yes,2021-11-12,12055.45,1200.0,0.0,1.0,0.0,1200.0,Yes,0.0,2021-11-24,Southern Metropolitan,carpet installation works,0,1.0,9.39727211882773
104,2021-10-16,2021-10-20,Joinery installation,3184,26445.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-10-29,,No,No,Yes,2021-11-03,0.0,1554.55,1.0,0.0,1554.55,0.0,,,,Southern Metropolitan,joinery installation,1,0.0,10.18282238350008
105,2021-10-18,2021-10-19,Building works,3818,125594.13,,s.18(1)(b),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Determined,2021-11-03,,No,No,Yes,2021-11-04,124514.13,5720.0,0.0,1.0,0.0,5720.0,Yes,0.0,2021-11-15,Eastern Victoria,building works,0,0.9914008719993522,11.7408107962553
106,2021-10-18,,Concreting works,3066,6985.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,concreting works,0,,8.851520271691061
107,2021-10-18,2021-10-19,Construction works,3810,80000.0,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-11-10,,Yes,Yes,Yes,2021-11-12,51857.73,5000.0,0.5,0.5,2500.0,2500.0,No,,,Eastern Victoria,construction works,0,0.648221625,11.289781913656018
108,2021-10-19,2021-10-22,Concrete post tensioning,3066,66153.36,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-11-01,,Yes,No,Yes,2021-11-04,0.0,3272.72,0.5,0.5,1636.36,1636.36,No,,,Northern Metropolitan,concrete post tensioning,2,0.0,11.099730961903942
109,2021-10-19,2021-10-22,Painting works,3047,10268.2,8013.8,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2021-11-05,,Yes,No,Yes,2021-11-08,9014.11,990.0,0.0,1.0,0.0,990.0,No,,,Northern Metropolitan,painting works,0,0.8778666173233868,9.23680701979121
110,2021-10-21,2021-10-27,Plumbing works,3079,138669.89,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,Yes,,,,,,,,,,,,North-Eastern Metropolitan,plumbing works,0,,11.839851495497433
111,2021-10-22,2021-10-27,Sales and Marketing Services,3187,12000.0,,s.18(1)(b),Consultant,Pty Ltd Company,None,Other,Pty Ltd Company,Solicitors,Determined,2021-11-03,,No,No,Yes,2021-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,sales marketing services,2,0.0,9.392661928770137
112,2021-10-22,,Structural steel works,3177,30953.89,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,South-Eastern Metropolitan,structural steel works,6,,10.340253956806121
113,2021-10-26,2021-10-29,Plumbing and roofing works,3189,12553.04,,s.18(1)(b),Trade subcontractor,Sole trader,None,Other,Other,None,Determined,2021-11-12,,No,No,Yes,2021-11-16,0.0,990.0,1.0,0.0,990.0,0.0,,,,Southern Metropolitan,plumbing roofing works,0,0.0,9.437718146302418
114,2021-10-26,2021-10-27,Roofing works,3337,11431.12,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-11-08,,No,No,Yes,2021-11-09,3934.56,1200.0,0.5,0.5,600.0,600.0,No,,,Western Victoria,roofing works,0,0.34419724401458474,9.344094739739901
115,2021-10-27,2021-10-28,Construction works,3123,437416.65,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-11-19,,Yes,Yes,Yes,2021-11-22,317554.48,22000.0,0.5,0.5,11000.0,11000.0,Yes,0.0,2021-12-01,Southern Metropolitan,construction works,0,0.7259771204411171,12.98864145234394
116,2021-10-29,2021-11-03,Plastering of partitions and ceilings,3040,145099.2,138142.72,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Western Metropolitan,plastering partitions ceilings,2,,11.885172925418072
117,2021-10-29,2021-11-03,Post-tensioning works,3146,30958.0,29922.27,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,posttensioning works,0,,10.340386726133822
118,2021-11-05,2021-11-10,Air-conditioning mechanical services,3585,46499.99,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Northern Victoria,airconditioning mechanical services,2,,10.747207376521661
119,2021-11-05,2021-11-10,Plumbing works,3934,4529.3,,s.18(1)(b),Trade subcontractor,Other,None,Head contractor,Pty Ltd Company,None,Determined,2021-11-19,,No,No,Yes,2021-11-23,4117.55,1200.0,0.0,1.0,0.0,1200.0,No,,,Eastern Victoria,plumbing works,0,0.909091912657585,8.418322681150489
120,2021-11-09,,Construction of townhouses,3193,627592.74,209559.57,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Southern Metropolitan,construction townhouses,2,,13.349646731896478
121,2021-11-09,2021-11-12,"Design, supply and installation of concrete post-tensioning ",3186,25312.5,2250.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-03,,No,No,Yes,2021-12-07,2250.0,4261.36,1.0,0.0,4261.36,0.0,No,,,Southern Metropolitan,design supply installation concrete posttensioning ,1,0.08888888888888889,10.139053623848895
122,2021-11-11,2021-11-13,Concreting works,3212,87846.08,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-11-22,,No,No,Yes,2021-11-24,87846.08,5000.0,0.0,1.0,0.0,5000.0,Yes,0.0,2021-12-20,Western Victoria,concreting works,0,1.0,11.38334147110573
123,2021-11-11,2021-11-16,Supply and install window and door glazing,3067,7005.07,,s.18(1)(b),Supplier,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2021-12-02,,No,No,Yes,2021-12-03,7005.07,906.82,0.0,1.0,0.0,906.82,Yes,100.0,2021-12-13,Northern Metropolitan,supply install window door glazing,1,1.0,8.85438945158342
124,2021-11-16,2021-11-22,Bridge replacement,3351,19300.18,,s.18(1)(b),Head contractor,Pty Ltd Company,Claim preparer,Project manager,Other,None,Determined,2021-12-13,,No,No,Yes,2021-12-15,19300.18,2461.36,0.0,1.0,0.0,2461.36,No,,,Western Victoria,bridge replacement,2,1.0,9.867869701274357
125,2021-11-16,2021-11-19,Roofing on new apartments,3082,24065.45,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,2021-11-30,,No,No,Yes,2021-12-01,0.0,1036.36,1.0,0.0,1036.36,0.0,No,,,North-Eastern Metropolitan,roofing new apartments,2,0.0,10.08853248091829
126,2021-11-18,2021-11-25,Concrete works,3058,49794.79,,s.18(1)(b),Trade subcontractor,Trust,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2021-12-08,,No,No,Yes,2021-12-10,48094.79,5931.82,0.0,1.0,0.0,5931.82,No,,,Northern Metropolitan,concrete works,0,0.9658598821282307,10.815665639065955
127,2021-11-22,2021-11-25,"Design, supply and installation of concrete post-tensioning ",3056,21362.72,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Northern Metropolitan,design supply installation concrete posttensioning ,1,,9.969402625790947
128,2021-11-22,2021-11-25,"Supply and deliver prefabricated metal framing, floor joists, roof trusses and stairs",3058,174164.53,,s.18(1)(b),Supplier,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-09,,No,No,Yes,2021-12-10,0.0,1534.09,1.0,0.0,1534.09,0.0,No,,,Northern Metropolitan,supply deliver prefabricated metal framing floor joists roof trusses stairs,3,0.0,12.067755706135157
129,2021-11-23,2021-11-29,Early works,3128,26070.0,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-12-15,,Yes,Yes,Yes,2021-12-15,26070.0,4090.91,0.0,1.0,0.0,4090.91,Yes,300.0,2022-01-04,North-Eastern Metropolitan,early works,0,1.0,10.168540506927547
130,2021-11-23,2021-11-29,Preliminary design and project management works at apartments ,3122,19360.0,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-12-15,,Yes,Yes,Yes,2021-12-15,19360.0,4090.91,0.0,1.0,0.0,4090.91,Yes,300.0,2022-01-04,Southern Metropolitan,preliminary design project management works apartments ,0,1.0,9.870964360830568
131,2021-11-23,2021-12-13,Supply and erection of structural steel,3168,22836.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-29,,No,No,Yes,2021-12-31,22836.0,2461.36,0.0,1.0,0.0,2461.36,No,,,Southern Metropolitan,supply erection structural steel,6,1.0,10.036093517084149
132,2021-11-23,2021-11-26,Supply and install joinery to a multi-unit development,3108,68625.19,260.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-12-17,,No,No,Yes,2021-12-21,48625.19,7363.64,0.0,1.0,0.0,7363.64,Yes,500.0,2022-01-19,North-Eastern Metropolitan,supply install joinery multiunit development,1,0.7085618269326468,11.13641494747831
133,2021-11-25,,Building works,3025,24500.0,24500.0,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Western Metropolitan,building works,0,,10.106428396532818
134,2021-11-26,2021-11-30,Crane and rigging hire services,3127,32414.0,28751.25,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,None,Determined,2021-12-08,,No,No,Yes,2021-12-14,31365.0,3250.0,0.0,1.0,0.0,3250.0,Yes,,2021-12-23,Southern Metropolitan,crane rigging hire services,2,0.9676374406120812,10.386345707218064
135,2021-11-29,2021-12-01,Mechanical services works,3585,46499.99,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-12-17,,Yes,Yes,Yes,2021-12-20,0.0,3500.0,1.0,0.0,3500.0,0.0,No,,,Northern Victoria,mechanical services works,0,0.0,10.747207376521661
136,2021-11-29,2021-12-01,Painting works,3134,47928.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-08,,No,No,Yes,2021-12-08,0.0,0.0,0.0,0.0,0.0,0.0,No,,,North-Eastern Metropolitan,painting works,0,0.0,10.777455163763761
137,2021-12-02,,Building works,3127,43160.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Southern Metropolitan,building works,0,,10.67266941937207
138,2021-12-03,2021-12-08,Provision of labour,3212,565722.1,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-12-22,,No,No,Yes,2021-12-24,565722.1,3272.73,0.0,1.0,0.0,3272.73,No,,,Western Victoria,provision labour,2,1.0,13.245858247211263
139,2021-12-06,2021-12-08,Roof replacement,3128,27356.88,,s.18(1)(b),Head contractor,Pty Ltd Company,None,Other,Other,None,Not determined,,Timed out,No,No,,,,,,,,,,,,North-Eastern Metropolitan,roof replacement,2,,10.216723330146273
140,2021-12-08,2021-12-13,Plastering works,3072,43660.64,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-12-21,,No,No,Yes,2021-12-23,0.0,2045.45,0.5,0.5,1022.725,1022.725,No,,,Northern Metropolitan,plastering works,0,0.0,10.68420228872302
141,2021-12-09,2021-12-10,"Design, fabricate and supply roof and wall framing components",3146,16616.68,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,1600.0,1.0,0.0,1600.0,0.0,,,,Southern Metropolitan,design fabricate supply roof wall framing components,1,,9.718162289128774
142,2021-12-09,2021-12-13,Framing works,3793,29735.0,20000.0,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,framing works,0,,10.300080082140694
143,2021-12-10,2021-12-16,Architectural services,3006,2557451.46,,s.18(1)(b),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Southern Metropolitan,architectural services,2,,14.754521797155665
144,2021-12-13,,Landscaping works,3630,73432.49,51044.23,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Victoria,landscaping works,0,,11.204121759716843
145,2021-12-14,,Framing works,3437,20510.0,20050.27,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Victoria,framing works,0,,9.928667851066427
146,2021-12-14,2021-12-16,Structural steel works,3810,153281.62,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-12-30,,Yes,Yes,Yes,2021-12-30,100000.0,8800.0,0.5,0.5,4400.0,4400.0,Yes,0.0,2022-01-10,Eastern Victoria,structural steel works,6,0.6523939399909787,11.940032162042366
147,2021-12-14,2021-12-16,Structural steel works,3810,84526.86,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-12-30,,Yes,Yes,Yes,2021-12-30,39313.62,5000.0,0.0,1.0,0.0,5000.0,Yes,0.0,2022-01-10,Eastern Victoria,structural steel works,6,0.4651020989067854,11.344824632657842
148,2021-12-15,2021-12-20,Scaffolding Hire,3975,25450.0,,s.18(1)(b),Supplier,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,No,,,,,,,,,,,,South-Eastern Metropolitan,scaffolding hire,2,,10.144471021978669
149,2021-12-17,2021-12-29,Plastering and cladding,3066,135539.3,2746.53,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-01-10,,No,No,Yes,2022-01-12,3971.61,4090.91,1.0,0.0,4090.91,0.0,No,,,Northern Metropolitan,plastering cladding,2,0.029302276166396024,11.81701691414969
150,2021-12-20,,Mechanical services,3121,105835.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,mechanical services,2,,11.56963655655427
151,2021-12-21,2021-12-24,Construction works,3127,123419.0,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Consultant,Developer,Pty Ltd Company,Solicitors,Determined,2022-01-19,,No,Yes,Yes,2022-01-19,54701.0,29040.0,0.5,0.5,14520.0,14520.0,No,,,Southern Metropolitan,construction works,0,0.4432137677343035,11.723340349427714
152,2021-12-21,2021-12-22,Supply of structural steel,3175,3087.1,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-31,,No,No,Yes,2022-01-05,3087.1,660.0,0.0,1.0,0.0,660.0,No,,,South-Eastern Metropolitan,supply structural steel,6,1.0,8.034987417887432
153,2021-12-21,2021-12-22,Supply of structural steel,3175,1128.35,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-31,,No,No,Yes,2022-01-05,1128.35,220.0,0.0,1.0,0.0,220.0,No,,,South-Eastern Metropolitan,supply structural steel,6,1.0,7.028511667617919
154,2021-12-21,2021-12-22,Supply of structural steel,3175,1065.37,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-12-31,,No,No,Yes,2022-01-05,1065.37,220.0,0.0,1.0,0.0,220.0,No,,,South-Eastern Metropolitan,supply structural steel,6,1.0,6.971077435648297
155,2021-12-22,2021-12-23,Construction works,3186,203517.8,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,2022-01-15,,Yes,Yes,Yes,2022-02-04,168809.53,17600.0,0.5,0.5,8800.0,8800.0,No,,,Southern Metropolitan,construction works,0,0.8294583078236891,12.22350874932704
156,2021-12-22,2021-12-23,Construction works,3186,193029.75,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,2022-01-15,,Yes,Yes,Yes,2022-02-04,135075.26,17600.0,0.5,0.5,8800.0,8800.0,No,,,Southern Metropolitan,construction works,0,0.6997639483033056,12.17059960108561
157,2022-01-04,2022-01-06,Civil works,3220,265529.17,56985.4,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,Yes,Yes,,,,3520.0,1.0,0.0,3520.0,0.0,,,,Western Victoria,civil works,0,,12.489479981802322
